GeneID	logFC	logCPM	F	PValue	FDR
HBM	15.4464709120674	10.4125203870243	2183.6233992424	0	0
HBA2	15.3553753780826	10.3214026269288	2116.2919287547	0	0
HBG1	11.1684111820793	12.623987832431	3977.95357380298	0	0
AHSP	11.1670116782391	12.7131438944846	4068.65722623051	0	0
PRDX2	7.54382589837593	11.0937054416443	1963.39100833021	0	0
FTH1	6.68150965365523	9.79428449571323	1188.2306113773	1.05187261334158e-257	4.95519656934998e-254
NMU	9.05510816071888	9.13274840918577	1180.58848579536	4.45393845762665e-256	1.79843672149739e-252
MPC2	4.58730200407172	11.3553448362526	1086.28501672103	5.51652181656122e-236	1.94905611431379e-232
FTL	4.10163355018018	11.8919178696801	1024.29531297661	6.06621435191101e-222	1.9051283184085e-218
APOC1	7.35178935356728	8.95233198798542	964.406732500384	5.76842970201622e-210	1.63044665527489e-206
S100A6	3.97388849746948	11.7170743830779	938.568199503479	1.92635552849271e-204	4.94985809207696e-201
BLVRB	6.87832749910551	9.03608809018514	941.125659590171	4.23675250577595e-204	9.97931746464643e-201
CD36	5.41875465999461	9.67657340232926	891.398353955292	2.37348176494308e-194	5.16049708354739e-191
HBA1	13.1907448853029	8.15386796410525	847.133091468884	7.1246919215734e-185	1.43842440830909e-181
RGCC	5.46515608441773	9.39055100468282	823.099358170168	1.00413752297402e-179	1.89212980579071e-176
GYPB	6.94365943009562	8.63967916878046	819.734074807223	5.28400943293368e-179	9.3345329138669e-176
SMIM1	10.2294282544818	8.01355810585946	758.286370985916	7.92749912700348e-166	1.31806331073384e-162
SPINK2	-10.5889262135122	8.34452051173833	748.17087138809	1.17402221388577e-163	1.8435409930823e-160
UCA1	10.1629013919392	7.94685811961635	731.321105765363	4.85472172237283e-160	7.22203734120358e-157
BNIP3	6.20309816972121	8.59625076529499	727.931413341927	2.593228008548e-159	3.66487948308046e-156
ABRACL	-3.84697003671006	10.7103766314328	700.91802540477	1.63908736197576e-153	2.20613353744023e-150
TMEM14C	3.7047986525143	10.3287135924194	618.993732599557	6.69190802563213e-136	8.59758092474965e-133
HBD	3.22394640283004	11.4429387325317	626.090416965778	1.96873715548633e-135	2.41940676955744e-132
GMFG	-4.25987935646025	9.71164525465676	615.04920290174	4.72296002227676e-135	5.56226937623552e-132
HBBP1	7.8387270585747	7.79262850273932	606.429211582288	1.55980471164398e-132	1.76351520698468e-129
LXN	4.04527635004148	9.699690486375	590.892894827869	7.46294601561796e-130	8.11308342813238e-127
RHAG	5.54309939040947	8.25197599348725	563.207644174338	6.82681248429916e-124	7.14666129143392e-121
HBE1	8.83459812595844	7.52399769909012	560.113229756074	1.50687512900894e-121	1.52113662576564e-118
S100A4	4.16849195859771	9.07621059476524	511.271443476123	1.06312364969599e-112	1.03617896409162e-109
SYNGR1	5.20557637287403	8.15206673731582	499.006634972762	4.69321844760453e-110	4.42179398071806e-107
RFESD	5.577591906214	7.97706103717959	498.497951308254	6.04202673619294e-110	5.50896405479011e-107
MGST3	3.31211914717804	10.0495759671204	475.421777430034	5.74746336452854e-105	5.07662662494997e-102
MT1G	8.8792662068074	7.18693949045	462.4125525652	3.69065368457497e-102	3.16110079983368e-99
CA2	6.96228739300021	7.37427228135729	455.084805532888	1.40903001789492e-100	1.17135980752353e-97
TMSB4X	-2.43266045963327	12.3183771026656	454.958793188166	1.50011439709271e-100	1.21144952668073e-97
HBQ1	6.91407109449464	7.31621257113522	437.911912725967	9.67743088080927e-97	7.59812732905761e-94
TFRC	3.07929472721972	10.0972741411086	426.300754253727	2.31719740686848e-94	1.77015093797669e-91
ACTG1	-4.80465893843115	8.22167570128089	422.837579987078	1.2975545953894e-93	9.65141595754771e-91
MT1X	8.37953159072982	7.05268333599933	416.81290945278	2.59896628024221e-92	1.88358415156528e-89
HBB	8.09440363976982	12.8741612840585	2626.12982264932	8.49520097479655e-88	6.00292138881561e-85
CA1	6.71704762678315	7.15770240072418	386.351902083035	3.26806042525611e-84	2.25296897365522e-81
TMEM14B	2.72600693188133	10.4415354132578	377.633420634346	7.66184611186741e-84	5.15624000837934e-81
H4C3	2.29024754382107	11.7794515648954	367.603419369179	1.13196892249999e-81	7.44072130103773e-79
GNG11	-12.0818140644538	7.07660209232207	366.674606763739	1.79789787724288e-81	1.15494507955159e-78
TIMP1	3.62920739391182	8.65389500829663	362.500219344167	1.43836775779899e-80	9.0345477053752e-78
ATP5IF1	2.21193799415534	11.9454918088519	356.989656796135	2.23971965884982e-79	1.37621035124762e-76
FCGR2A	5.58183780770736	7.19400257928096	335.011314082871	1.28036076597042e-74	7.69987171279872e-72
TPM4	-5.60931470964345	7.43814444885864	335.340470794004	1.60374742036126e-74	9.44373350760645e-72
GAPT	-11.8560065613481	6.85509765498316	316.751067564274	1.15290824022141e-70	6.65039824690982e-68
ARL4A	3.42122405325307	8.47098624632658	311.487741896961	1.59217686179895e-69	9.00057579974946e-67
CYSTM1	5.54974015277718	7.0668680001898	308.845694922665	5.94842156806201e-69	3.29670854159358e-66
VIM	-6.87398159201762	7.05624780342084	308.757766491093	8.16699654643767e-69	4.43923379586655e-66
FBXO7	4.22104667222434	7.65132388444629	299.960393091352	5.00899398086313e-67	2.67130594092635e-64
GYPE	5.25303572027618	7.11868932456955	299.869026660294	5.24265336142705e-67	2.74414069001362e-64
PBK	3.959911771185	7.82995593556684	296.911956766726	2.29311371011073e-66	1.17845198211418e-63
SOX4	-5.7114201856709	7.20104315120117	295.944001790465	3.71722276742248e-66	1.85619747631979e-63
CALB1	9.46733262530524	6.44131020259504	296.203481553254	3.74326043340627e-66	1.85619747631979e-63
MALAT1	2.57549864137914	9.86674393008038	292.01448955272	2.64213497804336e-65	1.28758526128268e-62
CLDN10	-7.65362116701702	6.87321961165456	290.114529343959	6.82045512893174e-65	3.26746041049586e-62
GSTO1	2.44992907723034	10.1429959837133	289.408597144614	9.701649713617e-65	4.57028548592308e-62
ARV1	3.25638291866544	8.45696074589318	286.542985377137	4.05589349122966e-64	1.87934146769846e-61
LGALS3	6.69940493395238	6.63095592775866	281.508794804632	5.00708785904078e-63	2.28266674735141e-60
PLAC8	-4.71596729321717	7.44082281480917	281.333232823858	5.46579092171814e-63	2.45223143495815e-60
FAM210B	4.69850873630111	7.21843713472432	278.601950034431	2.13753795708856e-62	9.35029844179473e-60
MPO	-11.6586669009792	6.66199578836272	278.590070969094	2.15025437366587e-62	9.35029844179473e-60
TLCD4	8.60786882732499	6.39006540463016	277.944293057217	2.96845007976404e-62	1.27126123491713e-59
CDK6	-3.61183330402299	8.11307086552032	274.163318559578	1.96113125086687e-61	8.27333952324659e-59
CAST	3.80406225090668	7.76337623973392	271.491109143386	7.44875803090962e-61	3.09616390799501e-58
MT2A	4.93911155724315	7.06507468419848	270.014721496527	1.55710910612232e-60	6.37850563544165e-58
PIBF1	4.15229225412814	7.46848849288962	269.955729048871	1.60367027287954e-60	6.47539146613432e-58
FCER1A	-8.03694967035226	6.71162172743123	266.398864048843	9.47713626096957e-60	3.77283459741275e-57
TMEM123	-4.05056429576332	7.64992386135126	258.194020617972	5.71239841769701e-58	2.24251307328064e-55
TP53BP2	3.75377226538221	7.72583060064807	260.452764877326	9.21573956009082e-58	3.56825861186256e-55
SNRPG	-1.87382996795601	11.8497276312098	256.17169768686	1.56912761954106e-57	5.99343137382812e-55
EAF2	-2.80242360368645	9.02055403598939	255.044906622344	2.75538350638017e-57	1.03841219743781e-54
SERF2	2.48438754219097	9.5157594363807	247.199838989314	1.38958133353931e-55	5.16796268322219e-53
RGS18	-11.4739592549149	6.48222906865265	247.061645344734	1.48895529868099e-55	5.4656261710673e-53
CLEC2B	-3.45851362583209	8.0249180604856	246.413243450418	2.60321899773251e-55	9.43333140652683e-53
CD74	-5.5059779307899	6.9058306538989	238.270818055802	1.20613602867266e-53	4.31537150005477e-51
UROS	4.46271764624154	7.02320336270373	232.777870826363	2.07742707609584e-52	7.33980953823111e-50
REXO2	2.83755193640502	8.51539077048493	231.295469170034	3.94621364908434e-52	1.37703368878233e-49
SAMSN1	-3.28119735047671	7.98869296120477	223.70539071789	1.75748984163801e-50	6.05798175291442e-48
CELF2	-4.8664192060091	6.99479712766362	222.811967190104	2.74784371307795e-50	9.35756657230702e-48
UBB	1.84854381684096	11.1695302105156	217.484321092466	3.9498084443683e-49	1.32906352000083e-46
HSPE1	-1.76930916941133	11.5686648218037	216.795620560244	5.57484886422358e-49	1.85380121349741e-46
BLVRA	3.20727079873175	7.83248677350534	214.212329265192	2.03061150575683e-48	6.67386444304845e-46
LINC01133	10.9369242834998	5.88817831893177	212.708075231381	4.31075303623001e-48	1.40049924792001e-45
PLIN2	3.30083661652918	7.70288486627198	211.918827515449	6.39869791463585e-48	2.05521814269525e-45
BNIP3L	2.7556270532577	8.3938228220327	211.798564635092	6.7956424775738e-48	2.1581891531306e-45
EMP3	4.01409913355219	7.11073174039969	211.144211025324	9.42877437547212e-48	2.96115897469688e-45
NPC2	2.98483904139607	8.02151514774056	206.959255646237	7.65859374199675e-47	2.37879288041251e-44
PTTG1	1.85025469152519	10.8787846393145	204.750806094189	2.31348578724357e-46	7.107682149613e-44
ISCA2	2.59505359226606	8.58080733347482	202.190211770695	8.33672360341065e-46	2.53373648011185e-43
TPM1	3.61932962515307	7.2921013080403	200.780291855045	1.68875901782924e-45	5.0779546424408e-43
SRGN	-2.0246759700157	9.98643259835297	192.638579062438	9.95992467450043e-44	2.96333969394479e-41
LEPR	4.77833498945617	6.56558548857094	192.377541411869	1.13510947741712e-43	3.34206972699948e-41
HEMGN	4.90113492428938	9.73741886558252	613.934807688779	1.60413368774232e-43	4.67431326639553e-41
FAM30A	-5.46931622647619	6.53565175510337	187.463786183357	1.33050155378009e-42	3.8374108589382e-40
GLRX5	2.84607670498802	7.93587949791656	183.815402155449	8.27690131718962e-42	2.36309712858954e-39
TMSB15B	-3.95450950803295	7.08245354642143	183.260691471811	1.09289655332725e-41	3.08907210797947e-39
HNRNPA2B1	-2.0774583117319	9.62423704347577	181.211682613927	3.05136085199352e-41	8.53927866154424e-39
HBZ	8.71236492048185	5.68252563990841	175.384571660385	5.66048775054423e-40	1.56856555165816e-37
B2M	-1.31909546403462	13.4055751272178	172.938227672055	1.92950488229312e-39	5.29489859204028e-37
OAT	2.46692829779744	8.3059932613316	168.7908406946	1.5435505188385e-38	4.19504378990098e-36
