Experimento,Celulas,Plasmido,Luciferasa,Renilla
PILOTO_K562,K562,VV,1.307,1099
PILOTO_K562,K562,VV,1.328,952.1
PILOTO_K562,K562,VV,1.827,1354
PILOTO_K562,K562,POS_CNTRL,95.06,1485
PILOTO_K562,K562,POS_CNTRL,100.4,1926
PILOTO_K562,K562,POS_CNTRL,123.9,2157
PILOTO_K562,K562,LARGE-F,3.779,1521
PILOTO_K562,K562,LARGE-F,2.464,1317
PILOTO_K562,K562,LARGE-F,4.564,1729
M10_29_10_15,MCF10A,VV,0.03,209.6
M10_29_10_15,MCF10A,VV,0.128,88.58
M10_29_10_15,MCF10A,VV,0.059,188.1
M10_29_10_15,MCF10A,POS_CNTRL,1.22,117.6
M10_29_10_15,MCF10A,POS_CNTRL,1.43,124.4
M10_29_10_15,MCF10A,POS_CNTRL,0.946,80.67
M10_29_10_15,MCF10A,CP-F,0.109,231.5
M10_29_10_15,MCF10A,CP-F,0.018,179.8
M10_29_10_15,MCF10A,CP-F,0.085,133.5
M10_29_10_15,MCF10A,CP-R,1.24,189.1
M10_29_10_15,MCF10A,CP-R,1.354,188.2
M10_29_10_15,MCF10A,CP-R,1.078,205.2
M10_29_10_15,MCF10A,SMALL-F,1.299,191.1
M10_29_10_15,MCF10A,SMALL-F,2.895,396.8
M10_29_10_15,MCF10A,SMALL-F,9.828,282.5
M10_29_10_15,MCF10A,SMALL-R,1.881,190.8
M10_29_10_15,MCF10A,SMALL-R,1.935,164.8
M10_29_10_15,MCF10A,SMALL-R,1.577,714.1
M10_09_11_15,MCF10A,POS_CNTRL,2.843,520.1
M10_09_11_15,MCF10A,POS_CNTRL,2.717,682.5
M10_09_11_15,MCF10A,POS_CNTRL,2.551,640.1
M10_09_11_15,MCF10A,VV,0.051,387.8
M10_09_11_15,MCF10A,VV,0.314,913
M10_09_11_15,MCF10A,VV,0.555,386.3
M10_09_11_15,MCF10A,SMALL-F,2.632,604.9
M10_09_11_15,MCF10A,SMALL-F,1.967,518.2
M10_09_11_15,MCF10A,SMALL-F,1.05,399.2
M10_09_11_15,MCF10A,SMALL-R,3.289,625.4
M10_09_11_15,MCF10A,SMALL-R,2.106,475.3
M10_09_11_15,MCF10A,SMALL-R,16.36,499.3
M10_09_11_15,MCF10A,MR-F,1.228,666.4
M10_09_11_15,MCF10A,MR-F,5.016,1254
M10_09_11_15,MCF10A,MR-F,2.593,499.3
M10_09_11_15,MCF10A,MR-R,0.175,682.8
M10_09_11_15,MCF10A,MR-R,0.349,804.5
M10_09_11_15,MCF10A,MR-R,0.306,1092
M10_09_11_15,MCF10A,CP-F,0.143,316.4
M10_09_11_15,MCF10A,CP-F,0.252,660.6
M10_09_11_15,MCF10A,CP-F,0.168,531.2
M10_09_11_15,MCF10A,CP-R,4.834,825.8
M10_09_11_15,MCF10A,CP-R,3.515,1298
M10_09_11_15,MCF10A,CP-R,4.953,375.5
M10_09_11_15,MCF10A,LARGE-F,0.264,632.6
M10_09_11_15,MCF10A,LARGE-F,0.259,214.3
M10_09_11_15,MCF10A,LARGE-F,0.144,640.3
M10_09_11_15,MCF10A,LARGE-R,0.166,554.3
M10_09_11_15,MCF10A,LARGE-R,0.114,1153
M10_09_11_15,MCF10A,LARGE-R,0.871,483.9
M10_13_11_15,MCF10A,POS_CNTRL,4.205,321.6
M10_13_11_15,MCF10A,POS_CNTRL,0.952,201
M10_13_11_15,MCF10A,POS_CNTRL,1.125,248.6
M10_13_11_15,MCF10A,VV,0.232,307.6
M10_13_11_15,MCF10A,VV,0.889,559.7
M10_13_11_15,MCF10A,VV,0.135,628.4
M10_13_11_15,MCF10A,SMALL-F,1.284,316.1
M10_13_11_15,MCF10A,SMALL-F,1.865,531.8
M10_13_11_15,MCF10A,SMALL-F,1.197,442.5
M10_13_11_15,MCF10A,SMALL-R,0.812,196.3
M10_13_11_15,MCF10A,SMALL-R,1.327,326.3
